record_id,announcement_date,company,country,technology_type,qubit_count,gate_error_rate_pct,coherence_time_us,quantum_volume,funding_raised_million_usd,publications_count,patents_filed,sector_focus,is_commercially_available
460,2022-10-31,D-Wave,Canada,Quantum Annealing,19701,2.629,72.5,491.0,643.9,5,5,Finance,1
284,2025-05-31,IonQ,USA,Trapped Ion,176,0.355,93.6,54.0,591.0,8,2,AI/ML,1
173,2023-08-31,Google,USA,Superconducting,968,0.727,67.7,376.0,1643.9,7,2,Cryptography,1
47,2021-03-31,IBM,USA,Superconducting,247,1.121,67.2,104.0,1021.8,8,2,General Research,1
220,2019-10-31,IonQ,USA,Trapped Ion,12,1.62,20.0,5.0,271.4,1,0,Finance,0
654,2021-05-31,Xanadu,Canada,Photonic,16,3.676,,3.0,248.1,3,0,Drug Discovery,0
361,2023-09-30,Rigetti,USA,Superconducting,582,0.817,48.3,60.0,382.1,2,0,Drug Discovery,0
540,2023-08-31,Quantinuum,UK,Trapped Ion,46,0.882,34.0,18.0,1097.9,4,1,Logistics,1
498,2025-07-31,D-Wave,Canada,Quantum Annealing,73252,2.687,116.3,1057.0,681.5,5,5,Logistics,1
468,2023-04-30,D-Wave,Canada,Quantum Annealing,30080,2.431,76.1,761.0,718.3,5,1,Finance,1
51,2021-05-31,IBM,USA,Superconducting,272,1.061,75.8,117.0,860.0,4,1,Drug Discovery,1
87,2024-07-31,IBM,USA,Superconducting,2206,0.52,,1026.0,1246.9,6,3,General Research,1
954,2023-09-30,Intel,USA,Silicon Spin,23,1.99,31.3,4.0,632.0,4,1,Logistics,0
132,2019-11-30,Google,USA,Superconducting,83,,38.4,28.0,1213.1,5,2,AI/ML,1
793,2026-01-31, Origin Quantum,China,SUPERCONDUCTING,961,0.739,63.3,62.0,343.8,9,1,General Research,1
23,2019-06-30,IBM,USA,Superconducting,98,1.653,33.4,38.0,621.4,2,0,General Research,1
318,2020-04-30,Rigetti,USA,Superconducting,65,1.744,33.2,11.0,281.9,2,0,AI/ML,1
601,2023-05-31,PsiQuantum,USA,Photonic,28,2.884,26.3,4.0,961.7,0,2,Cryptography,0
270,2024-03-31,IonQ,USA,Trapped Ion,117,0.442,77.8,38.0,430.7,1,3,Cryptography,1
853,2026-04-30,Pasqal,France,Neutral Atom,531,0.981,40.0,27.0,303.2,3,1,Materials Science,0
192,2025-04-30,Google,USA,Superconducting,2477,0.481,107.2,1010.0,1632.2,7,5,Materials Science,1
631,2025-07-31,PsiQuantum,USA,Photonic,159,2.043,32.5,9.0,1285.0,1,2,Finance,0
367,2024-01-31,Rigetti,USA,Superconducting,738,0.714,67.3,73.0,412.7,3,1,Finance,1
178,2024-02-29,Google,USA,Superconducting,1239,0.716,96.7,468.0,1897.5,10,0,AI/ML,0
246,2021-10-31,IonQ,USA,Trapped Ion,34,0.837,40.0,13.0,320.8,1,3,Finance,0
